nickName,Combination,Cover 0,Cover 1,Cover 2,Cover 3,Cover 4,Cover 6,Man Cover 2,Other,Prevent,Screen
Falcons,0.38,6.6000000000000005,0.3784269662921349,0.5327402135231318,0.2279639175257732,0.1511864406779661,0.13846153846153844,0.46417910447761207,0.62,0.0,1.9792452830188672
Football Team,,0.5076923076923077,0.3673956262425448,0.4570833333333335,0.3832487309644672,0.5794019933554817,0.2793103448275862,0.2852941176470589,,0.3043478260869565,0.5999999999999999
Giants,0.3363636363636364,0.0,0.22395833333333331,0.27352941176470585,0.459704641350211,0.6038910505836574,0.13235294117647062,0.2339285714285715,,0.0,0.8423999999999999
Jaguars,,0.5583333333333333,0.5971751412429379,0.2812286689419795,0.3700000000000001,0.2979094076655053,0.11951219512195126,0.328125,,0.08181818181818183,0.7926315789473684
Jets,0.4555555555555556,0.6589743589743591,0.4066298342541436,0.09378881987577643,0.4115447154471545,0.5253787878787879,0.480952380952381,0.057647058823529426,,0.0,0.9729166666666664
Lions,1.36,1.3647058823529412,0.6712962962962965,0.3573604060913706,0.3047619047619047,0.3120448179271709,0.3955882352941176,4.316666666666666,0.0,0.14400000000000002,1.1635416666666667
Packers,0.17058823529411768,0.5875,0.3063457330415755,0.4323308270676692,0.5402010050251256,0.6692307692307691,0.7692307692307694,0.22289719626168228,0.8,0.625,0.45865921787709496
Panthers,0.5947368421052632,0.8090909090909091,0.3183189655172414,0.23546099290780145,0.3567877629063097,0.256923076923077,0.18000000000000002,0.6157894736842106,,0.09696969696969696,0.395
Patriots,,1.6411764705882352,0.30996677740863793,0.3067901234567901,0.41878260869565215,0.16822742474916386,0.2046511627906977,0.09473684210526316,,0.2,0.8833333333333333
Raiders,,,0.24900900900900905,0.20849056603773586,0.5844729344729345,0.21682027649769586,0.225,0.1842592592592593,2.05,1.0357142857142858,1.6363636363636365
Rams,0.16153846153846155,0.3138888888888889,0.3202216066481995,0.1772870662460568,0.7979729729729732,0.4307870370370371,0.8482142857142859,0.22014925373134325,0.0,2.1666666666666665,1.443333333333334
Ravens,,0.6454545454545456,0.8613013698630136,0.43392857142857133,0.299719887955182,0.18654781199351697,0.26610169491525426,0.8275862068965517,0.25,0.17435897435897438,1.9979166666666677
Saints,0.6125,0.2469387755102041,0.529951690821256,0.4535947712418299,0.4177464788732393,0.4079439252336449,0.5800000000000001,2.4808510638297867,0.32,1.8,1.2128571428571422
Seahawks,0.8800000000000001,0.45,0.5687150837988827,0.7266666666666669,0.4858974358974361,0.2689473684210525,0.5263157894736843,0.2728395061728395,0.0,0.04303797468354431,1.8722891566265056
Steelers,0.25,0.4393939393939394,0.3978494623655916,0.1813102119460501,0.5694045174537988,0.21839464882943144,0.08750000000000001,0.21583333333333335,,0.0,0.5218543046357615
Texans,,0.1225,0.4835734870317004,1.032258064516129,0.48342245989304794,0.1766393442622951,0.3018348623853211,0.0,2.8000000000000003,,0.5221153846153848
Titans,0.7166666666666668,0.2576923076923077,0.4842948717948717,0.32379182156133834,0.6488764044943821,0.7932330827067666,0.4000000000000001,0.4230769230769231,1.6333333333333335,2.09,1.0606060606060603
Vikings,0.32,0.7708333333333334,0.4236842105263157,0.4426605504587156,0.3406631762652705,0.382367758186398,0.4620689655172414,0.15856573705179278,1.4,0.7162162162162162,0.5779220779220781
